•央視「Relay」,#genre#
Now財經台,https://iptv.yang-1989.xyz/hk/vsv6mu?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
Now Sports 精選,https://iptv.yang-1989.xyz/hk/utszfd?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
Now Sports 英超,https://iptv.yang-1989.xyz/hkg/yt8x9c?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
雷霆881「電台」,https://iptv.yang-1989.xyz/hkg/9pvdck?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
叱咤903「電台」,https://iptv.yang-1989.xyz/hkg/cbk64u?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
AM864「電台」,https://iptv.yang-1989.xyz/hkg/d3a967?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
HOY 國際財經台,https://hoytv-live-stream.hoy.tv/ch76/index-fhd.m3u8
HOY TV,https://hoytv-live-stream.hoy.tv/ch77/index-fhd.m3u8
HOY 資訊台,https://hoytv-live-stream.hoy.tv/ch78/index-fhd.m3u8
RTHK 31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream5/streamPlaylist.m3u8
RTHK 32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
RTHK 33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
澳門衛星,https://live5.tdm.com.mo/ch3/ch3.live/playlist.m3u8
澳門葡文,https://live5.tdm.com.mo/ch2/ch2.live/playlist.m3u8
澳視澳門,https://live5.tdm.com.mo/ch1/ch1.live/playlist.m3u8
澳門資訊,https://live5.tdm.com.mo/ch5/info_ch5.live/playlist.m3u8
澳門體育,https://live5.tdm.com.mo/ch4/sport_ch4.live/playlist.m3u8
澳門綜藝,https://live5.tdm.com.mo/ch6/hd_ch6.live/playlist.m3u8
•台灣「Relay」,#genre#
緯來日本「Relay」,https://iptv.yang-1989.xyz/tw/g38g9c?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
緯來體育「Relay」,https://iptv.yang-1989.xyz/tw/5m82zd?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
緯來電影「Relay」,https://iptv.yang-1989.xyz/tw/pbubjp?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
緯來綜合「Relay」,https://iptv.yang-1989.xyz/tw/5nbzj6?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
緯來戲劇「Relay」,https://iptv.yang-1989.xyz/tw/5nyy49?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
緯來育樂「Relay」,https://iptv.yang-1989.xyz/tw/uj3dvc?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
愛爾達體育 一,https://iptv.yang-1989.xyz/tw/f2dysd?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
愛爾達體育 二,https://iptv.yang-1989.xyz/tw/petszh?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
愛爾達體育 三,https://iptv.yang-1989.xyz/tw/z7p35e?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
愛爾達體育 四,https://iptv.yang-1989.xyz/tw/mhz7j5?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
DAZN 1,https://iptv.yang-1989.xyz/tw/qy7cav?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
DAZN 2,https://iptv.yang-1989.xyz/tw/t8jxpw?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
年代新聞「Relay」,https://iptv.yang-1989.xyz/tw/xg4vxu?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
中天亞洲「Relay」,https://iptv.yang-1989.xyz/tw/s54r3y?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
中天綜合「Relay」,https://iptv.yang-1989.xyz/tw/p6nknj?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
中天娛樂「Relay」,https://iptv.yang-1989.xyz/tw/r5rr9f?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
東森電影「Relay」,https://iptv.yang-1989.xyz/tw/hpdfnx?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
東森洋片「Relay」,https://iptv.yang-1989.xyz/tw/z5dv97?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
東森綜合「Relay」,https://iptv.yang-1989.xyz/tw/84cbkp?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
東森戲劇「Relay」,https://iptv.yang-1989.xyz/tw/kx67x8?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
東森幼幼「Relay」,https://iptv.yang-1989.xyz/tw/23pq5d?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
台視「Relay」,https://iptv.yang-1989.xyz/tw/gdvwp3?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
MTV綜合台「Relay」,https://iptv.yang-1989.xyz/tw/tv8kcz?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
動物星球「Relay」,https://iptv.yang-1989.xyz/tw/8nctfb?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
CATCHPLAY 電影「Relay」,https://iptv.yang-1989.xyz/tw/4tthqm?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
龍祥時代「Relay」,https://iptv.yang-1989.xyz/tw/cgjydp?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
好萊塢電影「Relay」,https://iptv.yang-1989.xyz/tw/mczv85?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
CINEMAX「Relay」,https://iptv.yang-1989.xyz/tw/nytj32?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
龍華偶像「ofiii」,https://iptv.yang-1989.xyz/ofiii/2azmpq?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
龍華卡通「ofiii」,https://iptv.yang-1989.xyz/ofiii/qgq2f3?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
龍華戲劇「ofiii」,https://iptv.yang-1989.xyz/ofiii/dwedkn?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
龍華日韓「ofiii」,https://iptv.yang-1989.xyz/ofiii/r66xwv?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
龍華洋片「ofiii」,https://iptv.yang-1989.xyz/ofiii/wp369f?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
龍華經典「ofiii」,https://iptv.yang-1989.xyz/ofiii/mthrkb?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
龍華電影「ofiii」,https://iptv.yang-1989.xyz/ofiii/8jfjtk?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
中天新聞「ofiii」,https://iptv.yang-1989.xyz/ofiii/kt2fxp?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
台灣戲劇「ofiii」,https://iptv.yang-1989.xyz/ofiii/w54mgx?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
寰宇財經「ofiii」,https://iptv.yang-1989.xyz/ofiii/tremha?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
DayStar「ofiii」,https://iptv.yang-1989.xyz/ofiii/2gcxta?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
第1商業「ofiii」,https://iptv.yang-1989.xyz/ofiii/snf55u?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
Smart知識「ofiii」,https://iptv.yang-1989.xyz/ofiii/dzdkm6?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
•港澳台「Juli」,#genre#
翡翠台,https://cdn.qd.je/163189/fct
翡翠台 4K「字幕」,https://cdn.qd.je/163189/fct4k
翡翠台「字幕」,https://cdn.qd.je/163189/fct2
翡翠台「WebVTT字幕」,https://cdn.qd.je/163189/fctvtt
無綫新聞台,https://cdn.qd.je/163189/wxxw
無綫新聞台,https://cdn.qd.je/163189/wxxwt
明珠台「字幕」,https://cdn.qd.je/163189/mzt
明珠台「WebVTT字幕」,https://cdn.qd.je/163189/mztvtt
TVB Plus,https://cdn.qd.je/163189/tvbp2
TVB Plus「字幕」,https://cdn.qd.je/163189/tvbp
TVB Plus「WebVTT字幕」,https://cdn.qd.je/163189/tvbpvtt
黃金華劇台「WebVTT字幕」,https://cdn.qd.je/163189/hjhjt
Now新聞台,https://cdn.qd.je/163189/now
凤凰中文台,https://cdn.qd.je/163189/fhzw
凤凰资讯台,https://cdn.qd.je/163189/fhzx
凤凰香港台,https://cdn.qd.je/163189/fhhk
HOY TV,https://cdn.qd.je/163189/hoy
HOY TV,https://cdn.qd.je/163189/hoy2
HOY 資訊台,https://cdn.qd.je/163189/hoy78
HOY 國際財經台,https://cdn.qd.je/163189/hoy76
ViuTV,https://cdn.qd.je/163189/viu
ViuTVsix,https://cdn.qd.je/163189/viu6
RTHK31,https://cdn.qd.je/163189/rthk31
RTHK32,https://cdn.qd.je/163189/rthk32
RTHK33,https://cdn.qd.je/163189/rthk33
千禧經典台,https://cdn.qd.je/163189/tvbc
娛樂新聞台,https://cdn.qd.je/163189/ylxw
华丽翡翠台,https://cdn.qd.je/163189/hlt
华丽翡翠台「硬字幕」,https://cdn.qd.je/163189/jade
华丽翡翠台「新加坡」,https://cdn.qd.je/163189/hlfct
华丽翡翠台「新加坡」,https://cdn.qd.je/163189/jade2
TVB1,https://cdn.qd.je/163189/tvb1
TVBJ1,https://cdn.qd.je/163189/j1
TVB Drama,https://cdn.qd.je/163189/tvbd
TVB 功夫台,https://cdn.qd.je/163189/yzwx
TVB 星河台,https://cdn.qd.je/163189/tvbxh
TVB 星河台,https://cdn.qd.je/163189/xinghe
TVB 星河台,https://cdn.qd.je/163189/tvbxh2
澳視澳門,https://cdn.qd.je/163189/asam
澳門衛星,https://cdn.qd.je/163189/as
澳門體育,https://cdn.qd.je/163189/amty
澳門綜藝,https://cdn.qd.je/163189/amzy
澳門蓮花,https://cdn.qd.je/163189/amlh
天映頻道「新加坡」,https://cdn.qd.je/163189/typd
天映經典「新加坡」,https://cdn.qd.je/163189/ccm
天映頻道「馬來西亞」,https://cdn.qd.je/163189/typd2
天映經典「馬來西亞」,https://cdn.qd.je/163189/ccm2
Astro AOD,https://cdn.qd.je/163189/aod
Astro 歡喜台,https://cdn.qd.je/163189/hxt
iQIYI,https://cdn.qd.je/163189/iqiyi
八度空間,https://cdn.qd.je/163189/8tv
Channel 5,https://cdn.qd.je/163189/ch5
Channel 8,https://cdn.qd.je/163189/ch8
Channel U,https://cdn.qd.je/163189/chu
CCTV1,https://php.jdshipin.com/TVOD/iptv.php?id=cctv1
CCTV2,https://php.jdshipin.com/TVOD/iptv.php?id=cctv2
CCTV3,https://php.jdshipin.com/TVOD/iptv.php?id=cctv3
CCTV4,https://php.jdshipin.com/TVOD/iptv.php?id=cctv4
CCTV5,https://cdn.qd.je/163189/cctv5
CCTV5,https://cdn.qd.je/163189/cctv5-2
CCTV5+,https://php.jdshipin.com/TVOD/iptv.php?id=cctv5p
CCTV5+,https://cdn.qd.je/163189/cctv5p-2
CCTV6,https://php.jdshipin.com/TVOD/iptv.php?id=cctv6
CCTV7,https://php.jdshipin.com/TVOD/iptv.php?id=cctv7
CCTV8,https://php.jdshipin.com/TVOD/iptv.php?id=cctv8
CCTV9,https://php.jdshipin.com/TVOD/iptv.php?id=cctv9
CCTV10,https://php.jdshipin.com/TVOD/iptv.php?id=cctv10
CCTV11,https://php.jdshipin.com/TVOD/iptv.php?id=cctv11
CCTV12,https://php.jdshipin.com/TVOD/iptv.php?id=cctv12
CCTV13,https://php.jdshipin.com/TVOD/iptv.php?id=cctv13
CCTV13,https://cdn.qd.je/163189/cctv13-2
CCTV14,https://php.jdshipin.com/TVOD/iptv.php?id=cctv14
CCTV15,https://php.jdshipin.com/TVOD/iptv.php?id=cctv15
CCTV16,https://php.jdshipin.com/TVOD/iptv.php?id=cctv16
CCTV16,https://cdn.qd.je/163189/cctv16-2
CCTV17,https://php.jdshipin.com/TVOD/iptv.php?id=cctv17
五星体育,https://cdn.qd.je/163189/wxty
重温经典,https://cdn.qd.je/163189/cwjd2
重温经典,https://cdn.qd.je/163189/cwjd
广东珠江,https://cdn.qd.je/163189/gdzj
广东体育,https://cdn.qd.je/163189/gdty
广州综合,https://cdn.qd.je/163189/gzzh
广州新闻,https://cdn.qd.je/163189/gzxw
广州南国都市,https://cdn.qd.je/163189/ngds
海峡卫视,https://cdn.qd.je/163189/hxws
海峡卫视,https://cdn.qd.je/163189/hxws2
龍華電影台,https://cdn.qd.je/163189/lhdy
龍華經典台,https://cdn.qd.je/163189/lhjd
龍華偶像台,https://cdn.qd.je/163189/lhox
龍華日韓台,https://cdn.qd.je/163189/lhrh
龍華戲劇台,https://cdn.qd.je/163189/lhxj
龍華洋片台,https://cdn.qd.je/163189/lhyp
龍華卡通台,https://cdn.qd.je/163189/lhkt
金光布袋戲,https://cdn.qd.je/163189/jgbdx
金光布袋戲,https://cdn.qd.je/163189/jgbdx2
民視影劇台,https://cdn.qd.je/163189/msyj
公視戲劇,https://cdn.qd.je/163189/gsxj
采昌影劇台,https://cdn.qd.je/163189/ccyj
靖天映畫,https://cdn.qd.je/163189/jtyh
靖天戲劇台,https://cdn.qd.je/163189/jtxj
靖天電影台,https://cdn.qd.je/163189/jtdy
靖洋戲劇台,https://cdn.qd.je/163189/jyxj
影迷數位電影台,https://cdn.qd.je/163189/ymswdyt
amc電影台,https://cdn.qd.je/163189/amc
CinemaWorld,https://cdn.qd.je/163189/cinemaworld
MCE 我的歐洲電影,https://cdn.qd.je/163189/mce
經典電影台,https://cdn.qd.je/163189/jddyt
電影原聲台CMusic,https://cdn.qd.je/163189/cmusic
DreamWorks 夢工廠動畫,https://cdn.qd.je/163189/dreamworks
精選動漫台,https://cdn.qd.je/163189/jxdmt
緯來電影台,https://cdn.qd.je/163189/wldy
緯來戲劇台,https://cdn.qd.je/163189/wlxj
緯來體育台,https://cdn.qd.je/163189/wlty
龍祥時代,https://cdn.qd.je/163189/lxsd
東森電影台,https://cdn.qd.je/163189/dsdy
東森戲劇台,https://cdn.qd.je/163189/dsxj
東森洋片台,https://cdn.qd.je/163189/dsyp
•咪視「Relay」,#genre#
睛彩广场舞「Relay」,https://migu.yang-1989.xyz/migu/3w27fz?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
睛彩青少「Relay」,https://migu.yang-1989.xyz/migu/ku2gs3?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
睛彩竞技「Relay」,https://migu.yang-1989.xyz/migu/4w4wu5?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
睛彩篮球「Relay」,https://migu.yang-1989.xyz/migu/8vcrfg?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟜𝕂-𝟙「Relay」,https://migu.yang-1989.xyz/migu/e3qtu4?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟜𝕂-𝟚「Relay」,https://migu.yang-1989.xyz/migu/ayrn87?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟙「Relay」,https://migu.yang-1989.xyz/migu/duadcg?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟚「Relay」,https://migu.yang-1989.xyz/migu/k4qj2b?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟛「Relay」,https://migu.yang-1989.xyz/migu/mbrvhw?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟜「Relay」,https://migu.yang-1989.xyz/migu/23xuhe?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟝「Relay」,https://migu.yang-1989.xyz/migu/uzye3d?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟞「Relay」,https://migu.yang-1989.xyz/migu/5nt5w8?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟟「Relay」,https://migu.yang-1989.xyz/migu/564dgu?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟠「Relay」,https://migu.yang-1989.xyz/migu/4zyayf?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟡「Relay」,https://migu.yang-1989.xyz/migu/6ch34q?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟙𝟘「Relay」,https://migu.yang-1989.xyz/migu/hkq48s?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟙𝟙「Relay」,https://migu.yang-1989.xyz/migu/cdkg66?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟙𝟚「Relay」,https://migu.yang-1989.xyz/migu/kfkv3s?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟙𝟛「Relay」,https://migu.yang-1989.xyz/migu/zb7jwa?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟙𝟜「Relay」,https://migu.yang-1989.xyz/migu/kujgpa?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟙𝟝「Relay」,https://migu.yang-1989.xyz/migu/76ntd2?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟙𝟞「Relay」,https://migu.yang-1989.xyz/migu/kww2sx?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟙𝟟「Relay」,https://migu.yang-1989.xyz/migu/8asbz2?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟙𝟠「Relay」,https://migu.yang-1989.xyz/migu/savzbz?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟙𝟡「Relay」,https://migu.yang-1989.xyz/migu/7t3ppq?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟚𝟘「Relay」,https://migu.yang-1989.xyz/migu/75d46h?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟚𝟙「Relay」,https://migu.yang-1989.xyz/migu/4s3pup?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟚𝟚「Relay」,https://migu.yang-1989.xyz/migu/qj9vru?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟚𝟛「Relay」,https://migu.yang-1989.xyz/migu/f955s8?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟚𝟜「Relay」,https://migu.yang-1989.xyz/migu/5pmb36?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟚𝟝「Relay」,https://migu.yang-1989.xyz/migu/tbjxnw?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟚𝟞「Relay」,https://migu.yang-1989.xyz/migu/9ut3yb?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟚𝟟「Relay」,https://migu.yang-1989.xyz/migu/pspemz?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟚𝟠「Relay」,https://migu.yang-1989.xyz/migu/sympjq?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟚𝟡「Relay」,https://migu.yang-1989.xyz/migu/8h3876?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟛𝟘「Relay」,https://migu.yang-1989.xyz/migu/tf3r9q?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟛𝟙「Relay」,https://migu.yang-1989.xyz/migu/7q983q?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟛𝟚「Relay」,https://migu.yang-1989.xyz/migu/ugmgqk?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟛𝟛「Relay」,https://migu.yang-1989.xyz/migu/6j3dhq?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟛𝟜「Relay」,https://migu.yang-1989.xyz/migu/qzqfm8?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟛𝟝「Relay」,https://migu.yang-1989.xyz/migu/kybmj6?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
咪視界 𝟛𝟞「Relay」,https://migu.yang-1989.xyz/migu/ddx5m7?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
•綜合「Relay」,#genre#
BBC Earth,https://migu.yang-1989.xyz/comp/x8zjrd?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
BBC Lifestyle,https://migu.yang-1989.xyz/comp/dag4d2?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
Discovery,https://migu.yang-1989.xyz/comp/dcqbhx?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
HBO,https://migu.yang-1989.xyz/comp/ftf9t6?token=3faa76b1d84b98f92c24747a7de85abec6a7f0f36abdcb15
